R;N;ln(N)/ln(R)
1072;6263707481;3,23
1073;6281251249;3,23
1074;6298826693;3,23
1075;6316433305;3,23
1076;6334072657;3,23
1077;6351744569;3,23
1078;6369450309;3,23
1079;6387188983;3,23
1080;6404951755;3,23
1081;6422763579;3,23
1082;6440601927;3,23
1083;6458471167;3,23
1084;6476362097;3,23
1085;6494313559;3,23
1086;6512278797;3,23
1087;6530283111;3,23
1088;6548316769;3,23
1089;6566381875;3,23
1090;6584484407;3,23
1091;6602619051;3,23
1092;6620787247;3,23
1093;6638996241;3,23
1094;6657226381;3,23
1095;6675496861;3,23
1096;6693793681;3,23
1097;6712131099;3,23
1098;6730502741;3,23
1099;6748902279;3,23
1100;6767341739;3,23
1101;6785802785;3,23
1102;6804309811;3,23
1103;6822844683;3,23
1104;6841406803;3,23
1105;6860019129;3,23
1106;6878658185;3,23
1107;6897332215;3,23
1108;6916033173;3,23
1109;6934777503;3,23
1110;6953547773;3,23
1111;6972351147;3,23
1112;6991189181;3,23
1113;7010067639;3,23
1114;7028974593;3,23
1115;7047917319;3,23
1116;7066888793;3,23
1117;7085902451;3,23
1118;7104941119;3,23
1119;7124021755;3,23
1120;7143132421;3,23
1121;7162274403;3,23
1122;7181458443;3,23
1123;7200677919;3,23
1124;7219928373;3,23
1125;7239213291;3,23
1126;7258536913;3,23
1127;7277881241;3,23
1128;7297266259;3,23
1129;7316684365;3,23
1130;7336140021;3,23
1131;7355633489;3,23
1132;7375158489;3,23
1133;7394719807;3,23
1134;7414309913;3,23
1135;7433931485;3,23
1136;7453596703;3,23
1137;7473299713;3,23
1138;7493024073;3,23
1139;7512786869;3,23
1140;7532589075;3,23
1141;7552430987;3,23
1142;7572298505;3,23
1143;7592211339;3,23
1144;7612143311;3,23
1145;7632122683;3,23
1146;7652125889;3,23
1147;7672174489;3,23
1148;7692254527;3,23
1149;7712370357;3,23
1150;7732521457;3,23
1151;7752706535;3,23
1152;7772920869;3,23
1153;7793180143;3,23
1154;7813470925;3,23
1155;7833804315;3,23
1156;7854163423;3,23
1157;7874559759;3,23
1158;7894985781;3,23
1159;7915453783;3,23
1160;7935958053;3,23
1161;7956489719;3,23
1162;7977071193;3,23
1163;7997681131;3,23
1164;8018315715;3,23
1165;8038998641;3,23
1166;8059706401;3,23
1167;8080465379;3,23
1168;8101250753;3,23
1169;8122068711;3,23
1170;8142928229;3,23
1171;8163815139;3,23
1172;8184752613;3,23
1173;8205716061;3,23
1174;8226717963;3,23
1175;8247755477;3,23
1176;8268818127;3,23
1177;8289933085;3,23
1178;8311070219;3,23
1179;8332249739;3,23
1180;8353464657;3,23
1181;8374720915;3,23
1182;8396006381;3,23
1183;8417323711;3,23
1184;8438687883;3,23
1185;8460090393;3,23
1186;8481521873;3,23
1187;8502984387;3,23
1188;8524479663;3,23
1189;8546030111;3,23
1190;8567599665;3,23
1191;8589219875;3,23
1192;8610866097;3,23
1193;8632554925;3,23
1194;8654269451;3,23
1195;8676036635;3,23
1196;8697833871;3,23
1197;8719659313;3,23
1198;8741527007;3,23
1199;8763433577;3,23
1200;8785362913;3,23
1201;8807345657;3,23
1202;8829351583;3,23
1203;8851412007;3,23
1204;8873500473;3,23
1205;8895625615;3,23
1206;8917788359;3,23
1207;8939984329;3,23
1208;8962220031;3,23
1209;8984497813;3,23
1210;9006798637;3,23
1211;9029144351;3,23
1212;9051520525;3,23
1213;9073944725;3,23
1214;9096395389;3,23
1215;9118891965;3,23
1216;9141421935;3,23
1217;9163990183;3,23
1218;9186596599;3,23
1219;9209235917;3,23
1220;9231911231;3,23
1221;9254630875;3,23
1222;9277376155;3,23
1223;9300173141;3,23
1224;9322989995;3,23
1225;9345867187;3,23
1226;9368766171;3,23
1227;9391701969;3,23
1228;9414675211;3,23
1229;9437695223;3,23
1230;9460749757;3,23
1231;9483832389;3,23
1232;9506963771;3,23
1233;9530121713;3,23
1234;9553330213;3,23
1235;9576578447;3,23
1236;9599841579;3,23
1237;9623155245;3,23
1238;9646518771;3,23
1239;9669909727;3,23
1240;9693333193;3,23
1241;9716795609;3,23
1242;9740304903;3,23
1243;9763848377;3,23
1244;9787424147;3,23
1245;9811043325;3,23
1246;9834696033;3,23
1247;9858391837;3,23
1248;9882116981;3,23
1249;9905887843;3,23
1250;9929701397;3,23
1251;9953540357;3,23
1252;9977431699;3,23
1253;10001351905;3,23
1254;10025310385;3,23
1255;10049308899;3,23
1256;10073345137;3,23
1257;10097422029;3,23
1258;10121536087;3,23
1259;10145691299;3,23
1260;10169869817;3,23
1261;10194111371;3,23
1262;10218366545;3,23
1263;10242678589;3,23
1264;10267022647;3,23
1265;10291400009;3,23
1266;10315833295;3,23
1267;10340293521;3,23
1268;10364784905;3,23
1269;10389323175;3,23
1270;10413901749;3,23
1271;10438515885;3,23
1272;10463166393;3,23
1273;10487859745;3,23
1274;10512596649;3,23
1275;10537360999;3,23
1276;10562168403;3,23
1277;10587010729;3,23
1278;10611908023;3,23
1279;10636823551;3,23
1280;10661788227;3,23
1281;10686797847;3,23
1282;10711826317;3,23
