Simulated annealing: Cycle 1

Iter         T              F        Inc    Acc
 387    1.6605E-012    5.6875E-013   118    34
 388    1.4945E-012    3.2752E-013   113    34
 389    1.3450E-012    3.0206E-013   110    38
 390    1.2105E-012    1.3731E-012   114    40
 391    1.0895E-012    3.3780E-012   113    41
 392    9.8053E-013    4.7413E-014   114    35
 393    8.8247E-013    4.4201E-013   112    34
 394    7.9423E-013    4.0611E-013   110    32
 395    7.1480E-013    3.4131E-013   116    37
 396    6.4332E-013    5.9546E-014   110    31
 397    5.7899E-013    2.1728E-012   103    35
 398    5.2109E-013    6.6792E-013   110    37
 399    4.6898E-013    1.7856E-012   113    40
 400    4.2208E-013    9.4433E-013   120    45
 401    3.7988E-013    1.0925E-013   114    35
 402    3.4189E-013    1.9895E-013   115    37
 403    3.0770E-013    3.0012E-013   116    45
 404    2.7693E-013    6.7389E-013   116    41
 405    2.4924E-013    2.4111E-013   108    43
 406    2.2431E-013    3.6109E-013   113    39
 407    2.0188E-013    8.7666E-016   116    33
 408    1.8169E-013    1.1058E-013   110    35
 409    1.6352E-013    5.8092E-013   113    44
 410    1.4717E-013    2.1636E-014   120    40
 411    1.3245E-013    9.7768E-016   120    42
 412    1.1921E-013    1.3696E-013   117    34
 413    1.0729E-013    1.3346E-014   107    32
 414    9.6559E-014    3.8597E-013   115    41
 415    8.6904E-014    4.1247E-014   109    38
 416    7.8213E-014    3.8522E-015   113    29
 417    7.0392E-014    3.0843E-014   112    34
 418    6.3353E-014    7.1010E-014   107    36
 419    5.7017E-014    1.2374E-013   115    39
 420    5.1316E-014    3.1472E-014   111    32
 421    4.6184E-014    5.4402E-014   111    32
 422    4.1566E-014    2.3686E-016   115    40
 423    3.7409E-014    1.2747E-016   112    42
 424    3.3668E-014    1.0243E-014   113    41
 425    3.0301E-014    2.5432E-014   111    37
 426    2.7271E-014    1.4749E-014   116    37
 427    2.4544E-014    3.8028E-014   114    37
 428    2.2090E-014    1.1256E-014   113    33
 429    1.9881E-014    3.7426E-015   113    36
 430    1.7893E-014    9.7786E-015   120    39
 431    1.6103E-014    4.5994E-015   110    35
 432    1.4493E-014    8.4032E-015   108    42
 433    1.3044E-014    3.1760E-014   118    40
 434    1.1739E-014    1.4152E-014   111    39
 435    1.0565E-014    1.5790E-014   112    35
 436    9.5089E-015    2.2781E-015   111    39
 437    8.5580E-015    3.8113E-015   119    36
 438    7.7022E-015    4.8471E-015   114    41
 439    6.9320E-015    7.5865E-015   113    39
 440    6.2388E-015    4.9065E-015   110    34
 441    5.6149E-015    5.4988E-015   112    33
 442    5.0534E-015    7.0043E-016   113    34
 443    4.5481E-015    8.6232E-015   117    44
 444    4.0933E-015    1.9323E-015   109    38
 445    3.6839E-015    3.0674E-016   111    31
 446    3.3155E-015    5.3997E-015   111    44
 447    2.9840E-015    8.6444E-016   115    33
 448    2.6856E-015    1.7881E-015   117    41
 449    2.4170E-015    8.1666E-015   112    41
 450    2.1753E-015    1.5685E-015   117    37
 451    1.9578E-015    1.0110E-015   116    43
 452    1.7620E-015    1.1728E-015   114    42
 453    1.5858E-015    3.7787E-017   111    33
 454    1.4272E-015    1.3742E-015   116    39
 455    1.2845E-015    6.4966E-016   110    36
 456    1.1561E-015    9.1030E-016   115    36
 457    1.0405E-015    1.6937E-015   110    41
 458    9.3641E-016    7.0171E-016   118    35
 459    8.4277E-016    2.0266E-015   115    37
